sol_training_loss,sol_taining_err,sol_val_err,sol_run_time,eff_training_loss,eff_training_err,eff_val_err,eff_run_time,pce_training_loss,pce_training_err,pce_val_err,pce_run_time,small_weights_rmse,large_weights_rmse,ecfp_rmse,softmax_rmse,hardmax_rmse
48.14181161,2.2057796,1.8693149,101.2329352,120.8013574,1.2212374,1.1943213,917.1587472,1080.067466,2.1085107,1.816598,1924.324978,0.7024161,1.2212981,1.124221904,0.7310398,0.8222555
30.08316696,1.7148846,1.6451054,,110.3846334,1.1673855,1.1592335,,723.8726836,1.7261682,1.6298468,,0.7355042,0.93580484,1.135442064,0.6898251,0.7307664
26.73434389,1.6564983,1.6617703,,103.681763,1.1313729,1.1481918,,633.1607939,1.6141592,1.5752906,,0.6788578,0.85371894,0.949260605,0.65268576,0.9112126
24.1958915,1.5689492,1.6016657,,103.5236788,1.1305264,1.1662991,,619.2866353,1.5960889,1.6286064,,0.66265494,1.0550315,0.975870027,0.7168427,0.76402164
20.94432032,1.4317575,1.3294426,,100.9787759,1.1165439,1.1285326,,594.1542168,1.5637442,1.6573684,,0.68557495,0.8565735,1.042199085,0.6529795,0.80777186
15.49873769,1.2504424,1.2341267,,100.0316897,1.1113044,1.1530379,,578.1011264,1.5426722,1.5937728,,0.64872724,0.9785727,1.061118044,0.6599493,0.82621884
13.54993069,1.1779087,1.2729669,,96.95434386,1.0940534,1.169076,,555.3890022,1.511819,1.5113782,,,,,,
13.92394418,1.1593533,1.5862446,,96.43088287,1.0910956,1.124638,,533.3109114,1.4812421,1.4794742,,,,,,
16.09536329,1.3156182,1.420173,,97.13104475,1.0950788,1.1285477,,529.5250667,1.4761552,1.5073013,,,,,,
14.21658391,1.2220218,1.1220924,,95.19016224,1.0840638,1.131089,,514.3563341,1.4547436,1.5622517,,,,,,
12.11738443,1.091679,1.0233686,,94.83055937,1.0820024,1.1431538,,497.5479397,1.4310361,1.4483666,,,,,,
10.27286243,1.007144,0.99163014,,94.69912004,1.0812668,1.147881,,486.0742143,1.414228,1.4607081,,,,,,
9.426976204,0.98101336,0.96634513,,93.20305884,1.0726677,1.1126037,,476.6783413,1.4007455,1.4654329,,,,,,
8.483740985,0.93806535,0.9637768,,95.18662375,1.0840461,1.1417471,,472.4227412,1.3946452,1.4677575,,,,,,
8.06221503,0.8977355,0.92742693,,92.74506116,1.070045,1.1757705,,461.968626,1.3789315,1.4040399,,,,,,
7.459028244,0.8764274,0.9091835,,92.02354771,1.0658618,1.1308259,,455.5564376,1.3693813,1.4210626,,,,,,
6.79293704,0.8378032,0.8704833,,94.41118312,1.0796015,1.1119076,,430.8439712,1.3316026,1.3666043,,,,,,
7.110660195,0.83286667,0.847967,,91.06373698,1.0603138,1.1375004,,429.2849335,1.32862,1.3961449,,,,,,
6.874684751,0.81572044,0.92262757,,91.15263271,1.060828,1.1169072,,428.825633,1.3284268,1.3383462,,,,,,
6.558171272,0.80685383,0.88162756,,89.74577832,1.0526146,1.1445982,,413.5745592,1.3046963,1.3747482,,,,,,
5.708864361,0.7593262,0.89973825,,91.07202685,1.0603615,1.1022592,,415.2209142,1.3072411,1.4339259,,,,,,
6.140289247,0.752109,0.9107923,,88.48574555,1.04518,1.0929582,,402.2516926,1.2865547,1.3877782,,,,,,
6.269890189,0.7944795,0.8918481,,88.59013915,1.0458181,1.1063102,,390.5166707,1.2678428,1.3944969,,,,,,
5.978325009,0.77435076,0.86478406,,88.41403484,1.0447397,1.1071603,,397.1211113,1.2783188,1.2970994,,,,,,
6.276687592,0.81682575,0.841519,,87.87504035,1.0415572,1.0996287,,389.8366231,1.2669321,1.3190517,,,,,,
6.480216056,0.8172031,0.9058432,,87.85873801,1.041473,1.0852023,,396.5576144,1.2773023,1.3584979,,,,,,
6.064847499,0.78473616,0.8369428,,87.7683965,1.0409347,1.100214,,384.471397,1.2578404,1.2844125,,,,,,
4.784570724,0.7063083,0.79859775,,87.44995165,1.0390383,1.0999917,,373.9646645,1.2408118,1.3900455,,,,,,
4.901156127,0.69832397,0.786768,,85.99341559,1.0303574,1.0938803,,370.1666697,1.2344625,1.2756221,,,,,,
4.943804711,0.6893389,0.789909,,86.84746385,1.0354483,1.120497,,356.8586075,1.2121109,1.2600901,,,,,,
4.904779732,0.70649165,0.7452529,,88.79731387,1.0470207,1.1031823,,,,,,,,,,
4.75232023,0.6894181,0.78646827,,85.68864781,1.0285133,1.0986618,,,,,,,,,,
4.240183175,0.66117007,0.92962706,,86.39610922,1.0327877,1.089864,,,,,,,,,,
4.682446778,0.69265026,0.74855405,,85.22892082,1.0257654,1.1038365,,,,,,,,,,
4.581890106,0.66886085,0.91724414,,85.98679024,1.0303342,1.0926899,,,,,,,,,,
4.904067695,0.6990417,0.8559708,,85.50276905,1.0273912,1.1038073,,,,,,,,,,
4.514728636,0.670978,0.7143511,,84.0595367,1.0186996,1.0967199,,,,,,,,,,
4.530019224,0.68011004,0.71707225,,83.94698286,1.0180427,1.1019729,,,,,,,,,,
4.177362502,0.6492629,0.7230672,,84.10774457,1.0189636,1.0815232,,,,,,,,,,
3.787808776,0.63086826,0.7477228,,83.90210295,1.0177531,1.1012095,,,,,,,,,,
3.984226048,0.61834717,0.79193264,,84.50801528,1.0214219,1.0808871,,,,,,,,,,
3.82687299,0.6308921,0.7131354,,83.78544766,1.0170331,1.1158946,,,,,,,,,,
4.738197237,0.6781107,0.7752382,,83.37430713,1.0145473,1.0772443,,,,,,,,,,
4.002442807,0.640289,0.82738745,,83.28630489,1.0140193,1.1124437,,,,,,,,,,
4.482339695,0.6859949,0.7809646,,82.225218,1.0075321,1.1148709,,,,,,,,,,
3.990299076,0.63908666,0.7274641,,82.70316201,1.0104415,1.1104857,,,,,,,,,,
3.558853716,0.613041,0.75322163,,82.37574244,1.008468,1.0993778,,,,,,,,,,
3.995958,0.6367513,0.6765551,,81.25472152,1.0015572,1.1377959,,,,,,,,,,
3.77665621,0.6139631,0.71250427,,80.85468376,0.99910426,1.0960131,,,,,,,,,,
3.426521242,0.5891322,0.69836116,,81.06615829,1.0004022,1.0861663,,,,,,,,,,
3.547200471,0.5713179,0.6821642,,,,,,,,,,,,,,
3.128778227,0.5775484,0.66753036,,,,,,,,,,,,,,
3.387052268,0.5694058,0.6499619,,,,,,,,,,,,,,
3.230916455,0.5705009,0.6642507,,,,,,,,,,,,,,
3.273128062,0.56957936,0.7018501,,,,,,,,,,,,,,
3.190388814,0.57151407,0.6620025,,,,,,,,,,,,,,
3.140575022,0.56644905,0.7696354,,,,,,,,,,,,,,
3.415255427,0.5859548,0.62688625,,,,,,,,,,,,,,
3.183278635,0.5571371,0.664633,,,,,,,,,,,,,,
3.269482911,0.56685585,0.725785,,,,,,,,,,,,,,
4.059921026,0.64574385,0.6676914,,,,,,,,,,,,,,
3.636932433,0.6153325,0.66011614,,,,,,,,,,,,,,
3.278859466,0.5783138,0.6223449,,,,,,,,,,,,,,
3.175718203,0.5752184,0.7499508,,,,,,,,,,,,,,
3.263162374,0.5787078,0.68554413,,,,,,,,,,,,,,
3.123692214,0.54371154,0.6832859,,,,,,,,,,,,,,
2.882965982,0.54477763,0.6634799,,,,,,,,,,,,,,
